Name,Url,Rating,Tags,Description
  Creating a Quiz Game using Vanilla JavaScript,https://www.coursera.org/learn/creating-a-quiz-game-using-vanilla-javascript,,"['Computer Science', 'Software Development']","By the end of this project, you will be able to create a multi app Quiz Game using Vanilla JavaScript. You will be able to add variables by keywords LET and CONST.. You will also loop on the choices and add IF conditions. In addition , you will be able to save input data from the web page in the local storage and use it in a JavaScript file. Moreover, you will be able to use an array ,  push from it and reverse it, you will be able to movefrom one page to another using JavaScript,  and finally, you will create and apply functions and also apply pre-defined functions. learning to use JavaScript enables you to better understand any website, gain more money as a web developer freelancer and finally, Learn Other Coding Languages Easier and Faster. 

This guided project is for beginners in the field of websites and web pages. It provides you with the first steps to be a web developer. Moreover, it equips you with the knowledge of JavaScript"
 Création D'Identité Visuelle En Utilisant Canva,https://www.coursera.org/learn/creation-identite-visuelle-impressionnant-utilisant-canva,,"['Business', 'Marketing']","À la fin de ce projet, vous créerez un kit de marque prêt pour le marketing pour une entreprise. Vous examinerez de plus près les outils gratuits fournis à Canva afin de créer votre kit de marque. Vous serez en mesure d’intégrer un guide complet de style d’affaires afin de créer l’identification de la marque dans le cadre de votre stratégie de marketing multimédia. Ce cours comprendra des guides, étape par étape pour la construction d’un guide de style facilement accessible, la création de dossiers pour l’organisation du projet, et la construction de modèles de marque à ajouter à votre kit de marque. Vous aurez des supports prêts à être imprimés ou affichés dans votre identité visuelle.
Remarque : ce cours fonctionne le mieux pour les étudiants basés en Amérique du Nord. Nous nous efforçons actuellement d'apporter la même expérience dans d'autres régions."
 Créer des Publicités sur Instagram,https://www.coursera.org/learn/creer-des-publicites-sur-instagram,,"['Business', 'Marketing']",
 Créer du contenu e-learning pour vos étudiants avec Canva,https://www.coursera.org/learn/creer-contenu-e-learning-etudiants-canva,,"['Computer Science', 'Design and Product']",
 Curso Completo de Spark con Databricks (Big Data),https://www.coursera.org/learn/curso-completo-spark-databricks,,"['Data Science', 'Data Analysis']","Este proyecto es un curso práctico y efectivo para aprender a utilizar el entorno de Big Data de Spark y Databricks desde cero. Aprenderás, de manera practica y efectiva a generar a utilizar todos los componentes de Spark como Spark SQL, MLlib... Además desarrollaras un modelo de Machine Learning completo con Spark en Databricks."
 Debugging support for the Node.js runtime in VScode ,https://www.coursera.org/learn/debugging-nodejs-vscode,,"['Computer Science', 'Mobile and Web Development']",
 Descubre diferentes formatos de anuncios en Facebook,https://www.coursera.org/learn/descubre-diferentes-formatos-anuncios-facebook,,"['Business', 'Marketing']",
 Edita fotos para las redes sociales con Canva,https://www.coursera.org/learn/edita-fotos-redes-sociales-canva,,"['Computer Science', 'Design and Product']",
 Enhance Organizational Communications with Slack,https://www.coursera.org/learn/enhance-organizational-communications-with-slack,,"['Business', 'Business Essentials']",
 FPGA computing systems: Background knowledge and introductory materials,https://www.coursera.org/learn/fpga-intro,4.6,"['Computer Science', 'Design and Product']","This course is for anyone passionate in learning how a hardware component can be adapted at runtime to better respond to users/environment needs. This adaptation can be provided by the designers, or it can be an embedded characteristic of the system itself. These runtime adaptable systems will be implemented by using FPGA technologies."
 Future Healthcare Payment Models,https://www.coursera.org/learn/healthcare-payment-models,4.5,"['Health', 'Healthcare Management']","This course will review the drivers of healthcare cost and solutions that have been proposed to address cost, quality and value of health care. Many point blame for high costs on payment models that pay healthcare providers for every service they provide to patients, essentially paying more for volume and service intensity. This is called a Fee for Service (FFS) payment model. Some solutions, arguably the more sustainable solutions, are the combined strategies of new payment models, care management, insurance plan designs, consumer engagement tools, and technology. "
 Gestalte deinen Shop in Facebook Shops mit Canva,https://www.coursera.org/learn/gestalte-shop-facebook-shops-canva,,"['Business', 'Marketing']",
 Get started with Facebook Audience Insights,https://www.coursera.org/learn/get-started-facebook-audience-insights,,"['Business', 'Marketing']","After completing this guided project, you will be able to access and use Facebook Audience Insights to better market your business on Facebook and reach your desired target group.

The goal of this project is to familiarize yourself using the Facebook Audience Insights tool. By achieving this goal, you will be able to create a promising marketing strategy and to reach your target audience on Facebook.

The objective of social media marketing is finding creative ways to attract the attention of social media users for its products and services, many times on a lean marketing budget.

Today, you will first create a Facebook Business Page Account. Later, I will introduce you to Facebook Insights. Facebook Insights is a very powerful Facebook marketing analytics tool. It offers a wealth of data to help you understand more about the users who visit your Facebook Page and your target audience."
" Get, Shape, Combine and Merge the datasets using Power BI",https://www.coursera.org/learn/get-shape-combine-and-merge-the-datasets-using-power-bi,,"['Data Science', 'Data Analysis']",
  Microsoft Excel التنسيق المخصص والشرطي في ,https://www.coursera.org/learn/tanseq-el-mokhasas-w-el-sharty-fi-microsoft-excel,,"['Business', 'Business Essentials']","فى نهاية المشروع ده , هتقدر تستخدم التنسيق الشرطى و المخصص فى جدول بيانات excel باستخدام نسخة مجانية من Microsoft Excel.Excel  هو جدول بيانات متشابه بجدول بيانات المحاسبة. بيكون فيه خلايا فردية ممكن نستخدمها لكتابة صيغ و وظائف. يعتبر التنسيق الشرطى أداة ملائمة لتحليل البيانات و التمثيل المرئي للنتائج. معرفة استخدام الاداه دى هتوفر عليك الكثير من الوقت والجهد. هتقدر تخليك تبص نظرة سريعة على الملف وهتبقى كافية للحصول على البيانات والمعلومات اللازمة.هتقدر تحمل البيانات على النسخة المجانية ل Microsoft excel  على الانترنت. و هتقدر تضبط عرض الاعمدة, و تغيير الوان الخلية, وإضافة الحدود. وهتقدر تستخدم التنسيق الرقمي ,واستخدام التنسيق الشرطي لتطبيق التنسيقات تلقائيا. زى مثلا إضافة الفواصل الاربع ارقام, و وضع علامة الأسعار. وضبط شكل التواريخ. واستخدام ال data bars, color scales و ال icon sets. و ازاى نخفى الاعمدة و الصفوف و الصفحات. 

المشروع مخصص للأشخاص المبتدئين  اللي مهتمين يبقى عندهم خبرة فى مميزات التنسيق زى adjusting column وتحليلها. ال excel هيعمل الحساب اوتوماتيكيا و تقدر تنسق البيانات بالطريقة الأسهل لعينيك او بالتنسيق الشرطي باستخدام excel.  اكيد مظاهر البيانات و طريقة عرضها مهمة جدا . محتاجين نبقى عارفين اهم مميزات التنسيق البيانات في excel. زى تغيير الخلفية و اضافه حدود و من المهمم جدا انك تبقى عارف ميزة التنسيق الشرطى و الرقمي."
  تحسين أداء العمل باستخدام نماذج غوغل,https://www.coursera.org/learn/improve-business-performance-with-google-forms-ar,,"['Business', 'Business Essentials']",
  كتابة موجز إبداعي لتحديد المشاريع الإبداعية على مايل شيمب,https://www.coursera.org/learn/kitabat-mujaz-ibdaie-li-tahdid-almasharih-alibdaiya-ala-mail-chimp,,"['Business', 'Leadership and Management']",
